"","subject","activity","tBodyAcc-std-X","tBodyAcc-std-Y","tBodyAcc-std-Z","tGravityAcc-std-X","tGravityAcc-std-Y","tGravityAcc-std-Z","tBodyAccJerk-std-X","tBodyAccJerk-std-Y","tBodyAccJerk-std-Z","tBodyGyro-std-X","tBodyGyro-std-Y","tBodyGyro-std-Z","tBodyGyroJerk-std-X","tBodyGyroJerk-std-Y","tBodyGyroJerk-std-Z","tBodyAccMag-std","tGravityAccMag-std","tBodyAccJerkMag-std","tBodyGyroMag-std","tBodyGyroJerkMag-std","fBodyAcc-std-X","fBodyAcc-std-Y","fBodyAcc-std-Z","fBodyAccJerk-std-X","fBodyAccJerk-std-Y","fBodyAccJerk-std-Z","fBodyGyro-std-X","fBodyGyro-std-Y","fBodyGyro-std-Z","fBodyAccMag-std","fBodyBodyAccJerkMag-std","fBodyBodyGyroMag-std","fBodyBodyGyroJerkMag-std"
"1",1,"LAYING",-0.9280564692,-0.83682740562,-0.826061401628,-0.8968300184,-0.90772000676,-0.85236629022,-0.958482112,-0.9241492736,-0.9548551108,-0.87354386782,-0.9510904402,-0.9082846626,-0.9186085208,-0.9679072436,-0.9577901596,-0.79514486386,-0.79514486386,-0.9282456284,-0.81901016976,-0.9358409828,-0.9244374346,-0.8336255561,-0.81289155944,-0.9641607086,-0.9322178704,-0.9605869872,-0.8822964508,-0.9512320494,-0.9165825082,-0.7983009404,-0.9218039756,-0.82431943968,-0.9326606676
"2",1,"SITTING",-0.977229008297872,-0.922618641914894,-0.93958629106383,-0.968457145744681,-0.935517055957447,-0.949040933191489,-0.986430711276596,-0.981371965319149,-0.987910804468085,-0.977211283191489,-0.966473895319149,-0.941425920851064,-0.99173159212766,-0.989518068510638,-0.987935806382979,-0.927078418723404,-0.927078418723404,-0.984120024042553,-0.934531840425532,-0.988308728510638,-0.976412313191489,-0.917275006382979,-0.934469558085106,-0.987492994468085,-0.982513909574468,-0.988339184893617,-0.977904227021277,-0.962345042553192,-0.94391784106383,-0.928444801702128,-0.981606177446808,-0.932198374893617,-0.987049617234043
"3",1,"STANDING",-0.995759901509434,-0.973190056415094,-0.979775876981132,-0.99376298509434,-0.981225957924528,-0.976324063584906,-0.994604542264151,-0.98564873245283,-0.992251177358491,-0.987191946603774,-0.98773444,-0.980645626981132,-0.992945106981132,-0.995137917358491,-0.992108467169811,-0.981942928867925,-0.981942928867925,-0.993096209433962,-0.978690028679245,-0.994733238679245,-0.99602834509434,-0.972293102075472,-0.977937259622642,-0.995073759245283,-0.987018226792453,-0.992349818113208,-0.987497128679245,-0.987107727735849,-0.98234533,-0.982313804716981,-0.992536003396226,-0.978466072075472,-0.994671123207547
"4",1,"WALKING",-0.283740258842105,0.114461336747368,-0.260027902210526,-0.976609642526316,-0.971305961473684,-0.947717226105263,-0.113615602435789,0.0670025007684211,-0.502699788526316,-0.473535485894737,-0.0546077686594737,-0.344266629473684,-0.207421854757895,-0.304468510631579,-0.404255452631579,-0.219688645631579,-0.219688645631579,-0.0744717500625263,-0.186978364526316,-0.325324878894737,-0.319134719578947,0.056040006846,-0.279686751494737,-0.133586606326316,0.106739857136,-0.534713440421053,-0.516691938736842,-0.0335081597884211,-0.436562227473684,-0.398032586842105,-0.103492403002105,-0.321017953894737,-0.381601911789474
"5",1,"WALKING_DOWNSTAIRS",0.0300353383483878,-0.0319359434489796,-0.230434213204082,-0.950559811632653,-0.937018658979592,-0.895939695102041,-0.012283860544898,-0.101601390640816,-0.345735032326531,-0.458030542938775,-0.126349194938775,-0.124702454242857,-0.487027342244898,-0.238824827530612,-0.268761480242857,0.0198843506265306,0.0198843506265306,-0.0257877197081633,-0.225724368061224,-0.306510645530612,0.0243308391387755,-0.112963739953061,-0.297927894693878,-0.0863278966402041,-0.134580008877551,-0.401721464285714,-0.495422486102041,-0.181414728657143,-0.238443565306122,-0.186530301073469,-0.104052260726531,-0.398350390122449,-0.391919876612245
"6",1,"WALKING_UPSTAIRS",-0.35470802509434,-0.00232026501698113,-0.0194792388471698,-0.956367027924528,-0.952849233207547,-0.912379410377358,-0.446843887735849,-0.378274426037736,-0.706593530943396,-0.544871104528302,0.00410518379811321,-0.50716867490566,-0.614786508490566,-0.601696656226415,-0.606332002264151,-0.324970929245283,-0.324970929245283,-0.478991622075472,-0.14861931805283,-0.648553044339623,-0.337428188679245,0.0217695106566038,0.0859565543849057,-0.461907025849057,-0.381777065283019,-0.726040200754717,-0.565892490754717,0.151538905566038,-0.57170784,-0.416260101509434,-0.533059853773585,-0.182985518264151,-0.693930521509434
"7",3,"LAYING",-0.982776639193548,-0.962057544516129,-0.96369103483871,-0.982512193064516,-0.981202749677419,-0.964807543870968,-0.98087931483871,-0.968710724677419,-0.982093162903226,-0.974545752096774,-0.977272653709677,-0.963505609032258,-0.980328645,-0.986762741935484,-0.983338279516129,-0.964218176451613,-0.964218176451613,-0.976121297903226,-0.954275110967742,-0.983139255645161,-0.983691129032258,-0.964094604193548,-0.96327908016129,-0.983122615967742,-0.971044012741936,-0.983711904677419,-0.975986433709677,-0.977032495483871,-0.967256854193548,-0.968350217419355,-0.975305377903226,-0.955441855806452,-0.982568158064516
"8",3,"SITTING",-0.971010120961538,-0.856617812115385,-0.875110175384615,-0.957324457884615,-0.903923008269231,-0.897736318269231,-0.974467390384615,-0.953631390961538,-0.974661565961538,-0.965434768461538,-0.944854571346154,-0.926413710384615,-0.972546905961538,-0.978635908653846,-0.973751670576923,-0.8703017,-0.8703017,-0.966550084230769,-0.925518103807692,-0.976772675961538,-0.971605878461538,-0.8496556575,-0.864322464038462,-0.976283534807692,-0.956461756730769,-0.9771595725,-0.968013062884615,-0.939609988461538,-0.930633150769231,-0.874626592115385,-0.966568852884615,-0.925449629,-0.976689802692308
"9",3,"STANDING",-0.96674254295082,-0.893449307213115,-0.911419015081967,-0.982020428032787,-0.957425321803279,-0.928161577377049,-0.957086489344262,-0.941686785737705,-0.973059634918033,-0.900462227540984,-0.927788618196721,-0.91236408147541,-0.940937642459016,-0.968433747868853,-0.958293011803279,-0.915143303606557,-0.915143303606557,-0.948770043278689,-0.88212522147541,-0.957679766885246,-0.969931287377049,-0.89243434852459,-0.904801254590164,-0.960570921803279,-0.943948547213115,-0.975595949508197,-0.901985672459016,-0.923125941147541,-0.919743846065574,-0.921836076557377,-0.94820681442623,-0.883439718032787,-0.957121510491803
"10",3,"WALKING",-0.360356726034483,-0.0699140652103448,-0.387411994310345,-0.97777159137931,-0.962355639482759,-0.952091795,-0.26867964387931,-0.0449619594258621,-0.52948611637931,-0.571869560172414,-0.563793260172414,-0.476696411551724,-0.385922986034483,-0.639087984137931,-0.536664080344828,-0.328428936551724,-0.328428936551724,-0.139916355325862,-0.561510683275862,-0.567371560862069,-0.379276781206897,-0.124030832001724,-0.422998473965517,-0.296596633103448,-0.00561498755362069,-0.543529108103448,-0.615121369827586,-0.568888673448276,-0.545896388103448,-0.456373080862069,-0.0898519904044828,-0.632643292931034,-0.549087007931034
"11",3,"WALKING_DOWNSTAIRS",-0.0574100475102041,-0.0331503723387755,-0.362240245489796,-0.950061129591837,-0.946094637755102,-0.899943947755102,-0.0858010042244898,-0.111439194979592,-0.571735243061224,-0.261653414014286,-0.546740387959184,-0.44230776755102,-0.285683162346939,-0.680947338163265,-0.374605412306122,-0.0411340078469388,-0.0411340078469388,-0.0926324494530612,-0.245794699346939,-0.583919211020408,-0.0654417192653061,-0.109722354322449,-0.389723034061224,-0.165442898685714,-0.14772824006198,-0.613525074285714,-0.30863033105102,-0.553094540204082,-0.548164313265306,-0.233849422120408,-0.159102288018367,-0.322440827020408,-0.624910820612245
"12",3,"WALKING_UPSTAIRS",-0.313123437627119,0.0116280813372881,-0.369754604067797,-0.944040819322034,-0.909825953898305,-0.909469675084746,-0.458364616949153,-0.251680364540678,-0.708551711864407,-0.456039262525424,-0.582742845932203,-0.492327305084746,-0.507270757966102,-0.775774143389831,-0.573433947627119,-0.333597432542373,-0.333597432542373,-0.439020591694915,-0.408886653186441,-0.718028040338983,-0.285333024050847,-0.00803987529661017,-0.350797226271186,-0.486446509661017,-0.268191523644068,-0.738705863898305,-0.484820991355932,-0.556045947118644,-0.561097649661017,-0.447994369152542,-0.48060920220339,-0.445181802430508,-0.740033436271186
"13",5,"LAYING",-0.965934509615385,-0.969295613269231,-0.968562516346154,-0.945695336153846,-0.985964053846154,-0.977076645,-0.983307862115385,-0.964560430961538,-0.985419368461538,-0.979498706538461,-0.977427370576923,-0.960583776923077,-0.983422257692308,-0.983759479230769,-0.989679592307692,-0.958612786346154,-0.958612786346154,-0.977477145384615,-0.958287921923077,-0.98377138,-0.964953893653846,-0.972909186730769,-0.965882191153846,-0.985625270384615,-0.96624258,-0.986135599038461,-0.980705769807692,-0.977257800961538,-0.963305738076923,-0.962525369423077,-0.976381934807692,-0.959263063269231,-0.983434493076923
"14",5,"SITTING",-0.980945022045455,-0.904335121022727,-0.926094740227273,-0.983137541590909,-0.939942979795454,-0.945008999545455,-0.975204850227273,-0.952786261136364,-0.973436529545455,-0.966225485,-0.950064068181818,-0.940637937045455,-0.966037012045455,-0.975433911363636,-0.964878512727273,-0.920939027727273,-0.920939027727273,-0.965757731590909,-0.931414810454545,-0.970392610454546,-0.9825908425,-0.9022915301,-0.92184351,-0.976530547272727,-0.954464442045455,-0.97602233,-0.969390369318182,-0.947571471590909,-0.947346476590909,-0.925669291136364,-0.966545323409091,-0.934746865454545,-0.970675403409091
"15",5,"STANDING",-0.968591815714286,-0.869439913392857,-0.869327321785714,-0.974088206071429,-0.931973943392857,-0.914608495714286,-0.962647080178571,-0.931217140714286,-0.963832118928571,-0.910395222321429,-0.933738104107143,-0.907471555714286,-0.941930044107143,-0.961177741607143,-0.944755343035714,-0.87977380125,-0.87977380125,-0.942962047678571,-0.867041711785714,-0.947970723571429,-0.97066840875,-0.867933178017857,-0.858231387857143,-0.965778920714286,-0.936202600714286,-0.96807230125,-0.912780915714286,-0.931857811428571,-0.91678935625,-0.886745170714286,-0.943601960178571,-0.868913993928571,-0.946196462857143
"16",5,"WALKING",-0.294098534232143,0.0767484028053571,-0.45702143625,-0.979348381428571,-0.961585474821429,-0.964580803928571,-0.302891024625,-0.0910397428607143,-0.612895318571429,-0.490877497857143,-0.504622029821429,-0.318700615178571,-0.357681403285714,-0.57143812375,-0.157682543983929,-0.377178733392857,-0.377178733392857,-0.282242276785714,-0.492176823571429,-0.48919974625,-0.297517355196429,0.0426026830839286,-0.483059957321429,-0.3213903195,-0.0545213604089286,-0.633429995714286,-0.529392790178571,-0.502683380535714,-0.420367075178571,-0.519636926071429,-0.305685376071429,-0.589741506785714,-0.455665300892857
"17",5,"WALKING_DOWNSTAIRS",0.275046110468085,0.0907630761042553,-0.325891435319149,-0.950490938510638,-0.912363420851064,-0.927192732978723,0.0322415501638298,0.0473612314702128,-0.52265163787234,-0.46064684487234,-0.409134149148936,-0.227869042382979,-0.411302217446809,-0.514591487234043,-0.0344217467042553,0.205422375957447,0.205422375957447,-0.0292570509829787,-0.360678305253192,-0.450303212340426,0.336554724893617,0.0268269875085106,-0.353397850212766,0.011055933212766,0.0901720096791489,-0.551178075319149,-0.51494094106383,-0.431552775319149,-0.374705187021277,0.0428533623276596,-0.089735699787234,-0.484141274255319,-0.487128422553191
"18",5,"WALKING_UPSTAIRS",-0.0457237779851064,0.185022459476596,-0.308938978787234,-0.95357996893617,-0.900511719787234,-0.92141958,-0.223896564340426,-0.125026612744681,-0.63836903212766,-0.443342262340426,-0.440345826382979,-0.26545133312766,-0.305245202489362,-0.631822048297872,-0.282154378489362,-0.136736383765957,-0.136736383765957,-0.310186545957447,-0.354687870212766,-0.557988065531915,-0.00473819670425532,0.165037631180851,-0.28925665906383,-0.22532784293617,-0.105311152804255,-0.668825711276596,-0.501685580212766,-0.403486393191489,-0.380378006808511,-0.254091927148936,-0.378616675957447,-0.440445051914894,-0.572485019787234
"19",6,"LAYING",-0.934049422052632,-0.924644826385965,-0.925216100350877,-0.887746310350877,-0.959161956491228,-0.928130738421053,-0.966341054736842,-0.933674494385965,-0.959646055263158,-0.955378225087719,-0.943634949473684,-0.939141878596491,-0.939611608245614,-0.958628819649123,-0.959579071578947,-0.897326245964912,-0.897326245964912,-0.950341934385965,-0.920914497017544,-0.953157001578947,-0.932462941461404,-0.929711219929825,-0.924004748421053,-0.968619159473684,-0.935717452807018,-0.963567540877193,-0.962164978596491,-0.945365097894737,-0.947136774385965,-0.905373979824561,-0.951552664035088,-0.928694890175439,-0.955504654561404
